,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
0,0.39950502,-0.03879501,0.39677,-0.40807998,0.29651,-0.81948,-0.55803,0.219835,0.483755,-0.64079946,-0.19546,0.38638502,0.252359,0.314125,0.61400497,0.32345003,-0.44676402,-0.174795,0.51739997,-0.680405,0.52232003,0.24399999,0.44886702,0.07237999,0.795645,-1.1698351,-0.4863605,0.1852375,0.025279999,-0.94353,1.7819,-0.11107501,-0.60836,-0.55148,0.0041099936,0.464695,0.85389,0.219939,-0.212715,0.299705,0.34967,-0.044524997,0.484415,0.092885,0.26619,0.22727501,0.011225,0.298648,-0.0431089,-0.16054851,0.36087,0.5252,-1.0422,0.22507,0.76221,0.43648,-0.58088,-0.024953,0.47475,0.21834,-0.98679,0.55622,1.1517,0.28576,0.76229,-0.26932,-0.67422,-0.57753,0.71054,-0.21715,0.39458,-0.66101,1.1425,0.69728,0.39504,-0.60147,-1.2807,0.11961,1.1637,-0.37347,1.7468,-0.7226,-1.1654,1.1486,0.28592,0.14798,-0.57285,1.1611,0.74474,-0.54718,1.2181,0.30803,-0.3913,-0.01959,0.36475,1.3065,0.94403,0.56427,0.10379,0.82588
1,-0.062761,0.81904,-0.067769,1.0728,-0.48884,-0.53659,-0.39512,0.29684,-0.24994,-0.64616,-0.38994,-1.0181,-0.74659,0.5638,0.62756,0.84303,0.1374,-0.54534,-0.16795,-0.43048,0.18814,0.16537,-0.1674,0.59948,-0.16904,-1.1376,0.36256,0.19763,0.010075,-0.3838,3.5756,0.045535,-0.52057,0.32947,-0.36942,-0.37348,0.31756,0.81132,-0.044679,-0.79792,0.22949,-0.73993,0.90041,0.46883,0.4512,0.6644,0.24931,-0.88062,-0.042584,-0.21827,0.14603,-0.081419,0.4117,-0.58313,0.66548,-0.5952,-0.095768,0.14289,0.62281,0.289,0.017688,0.10001,0.090673,1.0691,0.49732,1.14,-0.40264,0.71194,0.49728,-0.1562,0.73807,-0.029798,0.38105,0.77741,-0.19549,-0.18279,-0.537,1.0054,1.3553,-0.42051,0.061696,0.77587,-0.3022,0.8027,0.41015,1.2914,0.25042,0.58813,0.85505,0.082704,0.45588,0.15067,-0.63724,0.24472,0.24008,0.69516,0.65533,-0.010101,-0.17204,-0.2411
2,0.62257,0.071858,0.024343,-0.12574,0.31062,-0.2258,-0.34277,0.50858,-0.13264,-0.068181,-0.21331,0.27151,-0.44914,0.076563,0.54888,0.58235,0.46806,-0.3486,-0.14855,-0.81118,0.26717,0.24443,0.016739,0.04569,0.23783,-1.9723,-0.067601,-0.50336,0.21409,-0.48434,3.5853,1.1371,-1.1428,-0.058785,0.2457,-0.16272,0.17293,0.18225,0.0188,-0.52325,-0.34459,0.035117,0.27834,0.18419,0.23106,0.13612,0.021502,0.18111,0.038953,0.23854,0.13869499,-0.1619455,-0.99624497,-0.584955,0.56655,0.479465,-0.140705,-0.323735,0.615395,0.0775005,-0.274895,0.22380501,0.91875005,0.71422005,0.582725,0.1959415,-0.067127004,0.65901,0.31391,-0.48124,0.58826494,-0.1199921,0.534305,0.65917003,0.459425,-0.21908,-0.2578265,0.290005,1.165175,0.197257,0.96865505,0.26628,-0.17175,0.5129,0.049769998,1.04366,-0.049480006,1.100885,0.72098005,0.364025,-0.028250009,-0.23192501,-0.195115,1.3455,1.41501,0.18149501,0.29712,-0.28816998,0.663585,0.2933915
3,0.25322,-0.34355,0.79544,-0.67276,0.030686,0.5094,-0.4479,-0.18801,-0.017476,-0.34959,-0.52884,-0.15356,-0.16261,0.14659,0.48336,0.38471,0.2326,-0.37369,0.10151,-1.0127,0.37486,-0.78136,0.314,-0.61849,-0.62249,-1.2987,0.37412,0.84641,0.38115,-0.37949,3.5398,0.52446,0.11603,1.0183,-0.20129,-0.10432,-0.22025,0.28246,0.53979,-0.98981,-0.3338,0.33967,0.42538,-0.38407,0.079325,-0.08977,0.18659,0.20507,-0.4098,0.094407,0.23709,-0.49856,-1.0792,0.44938,0.65129,-0.020827,-0.23581,-0.077086,-0.42917,0.34349,-0.46078,0.15058,1.6908,0.081415,0.38058,-0.82966,-0.35473,0.84396,0.12697,-0.76117,-0.28762,-1.7802,1.5353,0.15333,-0.7707,0.016573,-0.030927,1.0941,1.1166,-0.6066,1.5888,-0.17859,-0.5575,1.2147,-0.093447,0.62139,-1.3918,1.2802,1.3941,-0.75228,0.29648,0.035917,-0.35889,-0.6431,1.3935,1.1953,0.52134,0.090659,-0.016261,0.38762
4,0.37694,0.014874995,0.18506,-0.14752498,0.1846905,-0.016716998,-0.57337,0.03114,-0.1051565,-0.104655,-0.26344502,-0.057609998,-0.45092,0.1938,0.2442805,0.27756,-0.031295,-0.293315,-0.57007,-0.531655,0.46269,0.130364,0.36307,0.053950004,0.145245,-1.7602,0.018214986,0.36899,0.38409102,-0.29078,3.56105,0.281985,-0.49952,-0.19063,0.00442325,-0.15656,0.0051199943,0.0062500015,-0.065123,-0.3019895,-0.168896,0.1223255,-0.19493,-0.12439,-0.14343,0.114465505,0.1330415,-0.29361498,0.132622,-0.3043835,0.62396,-0.3702,0.020021,0.56817,-1.1441,0.064714,0.55457,0.4829,0.38094,-0.059257,-0.3697,1.1364,0.23668,1.1778,0.049406,0.65638,-0.67215,1.287,0.47719,-1.4377,0.5408,-0.045323,-0.40048,-0.12607,0.50633,-0.51401,0.061099,1.3432,0.87303,0.12402,-0.040265,-0.073974,-0.24551,1.1607,-0.33243,0.91823,-0.087815,0.3821,1.6784,-0.16562,0.46461,0.44502,-0.35208,1.6905,-0.5229,0.52027,0.53387,-0.81624,0.25914,-0.54924
5,0.076143,-0.24717,0.40116,-0.44052,0.47109,-0.1377,-0.71907,0.13098,-0.17572,-0.03577,-0.25182,0.22588,-0.76386,0.24249,0.46617,0.10661,0.42314,-0.54628,-0.23715,-0.65187,-0.077369,0.28766,0.10809,-0.45786,0.067866,-1.8636,0.1389,0.17133,0.24996,-0.6366,3.2279,0.56937,-0.653,0.055097,-0.28294,0.17188,0.17931,0.49549,0.33623,-0.49653,0.10105,0.1834,0.095534,0.049611,-0.028313,0.27312,-0.24849,0.14717,0.11502,-0.25162,0.13869499,-0.1619455,-0.99624497,-0.584955,0.56655,0.479465,-0.140705,-0.323735,0.615395,0.0775005,-0.274895,0.22380501,0.91875005,0.71422005,0.582725,0.1959415,-0.067127004,0.65901,0.31391,-0.48124,0.58826494,-0.1199921,0.534305,0.65917003,0.459425,-0.21908,-0.2578265,0.290005,1.165175,0.197257,0.96865505,0.26628,-0.17175,0.5129,0.049769998,1.04366,-0.049480006,1.100885,0.72098005,0.364025,-0.028250009,-0.23192501,-0.195115,1.3455,1.41501,0.18149501,0.29712,-0.28816998,0.663585,0.2933915
6,-0.062761,0.81904,-0.067769,1.0728,-0.48884,-0.53659,-0.39512,0.29684,-0.24994,-0.64616,-0.38994,-1.0181,-0.74659,0.5638,0.62756,0.84303,0.1374,-0.54534,-0.16795,-0.43048,0.18814,0.16537,-0.1674,0.59948,-0.16904,-1.1376,0.36256,0.19763,0.010075,-0.3838,3.5756,0.045535,-0.52057,0.32947,-0.36942,-0.37348,0.31756,0.81132,-0.044679,-0.79792,0.22949,-0.73993,0.90041,0.46883,0.4512,0.6644,0.24931,-0.88062,-0.042584,-0.21827,0.18309,-0.028293,0.082406,-0.12592,0.89255,0.22503,-0.10855,0.1511,-1.3752,-1.4432,-0.64949,0.16625,-0.23802,1.5123,0.092798,0.55496,-0.29669,-0.59197,1.2212,-0.26558,0.88783,-0.14111,0.28922,-0.69484,-0.54065,-1.1133,0.30539,-0.032568,-1.2947,1.2418,2.6644,0.031051,-1.3173,-0.027633,0.17796,0.4314,0.66676,-0.065272,-0.1495,-0.44485,-0.95383,0.41872,-0.99088,-0.61351,-0.14069,0.24595,-1.069,0.84131,0.81254,-0.25113
7,0.62257,0.071858,0.024343,-0.12574,0.31062,-0.2258,-0.34277,0.50858,-0.13264,-0.068181,-0.21331,0.27151,-0.44914,0.076563,0.54888,0.58235,0.46806,-0.3486,-0.14855,-0.81118,0.26717,0.24443,0.016739,0.04569,0.23783,-1.9723,-0.067601,-0.50336,0.21409,-0.48434,3.5853,1.1371,-1.1428,-0.058785,0.2457,-0.16272,0.17293,0.18225,0.0188,-0.52325,-0.34459,0.035117,0.27834,0.18419,0.23106,0.13612,0.021502,0.18111,0.038953,0.23854,0.18543501,-0.048284993,-0.38280502,0.712375,0.390575,-0.37958503,-0.029399991,-0.036920004,0.7057862,0.17063001,0.515545,0.723665,1.073725,0.91267,-0.267295,0.031985,-0.58089,0.997035,-0.08939999,-0.808285,0.7507655,-1.2032499,0.2842355,0.459066,-0.33999,-0.600895,0.20236999,1.193085,1.050245,-0.019217,0.808564,-0.096428506,0.14401999,0.97291994,0.42161,0.672685,-0.17783499,0.837965,-0.006669998,0.289056,0.97013,-0.10214999,0.35850003,0.19758551,0.24121,0.46420997,-0.216146,0.11141501,0.8955,-0.47750503
8,0.25322,-0.34355,0.79544,-0.67276,0.030686,0.5094,-0.4479,-0.18801,-0.017476,-0.34959,-0.52884,-0.15356,-0.16261,0.14659,0.48336,0.38471,0.2326,-0.37369,0.10151,-1.0127,0.37486,-0.78136,0.314,-0.61849,-0.62249,-1.2987,0.37412,0.84641,0.38115,-0.37949,3.5398,0.52446,0.11603,1.0183,-0.20129,-0.10432,-0.22025,0.28246,0.53979,-0.98981,-0.3338,0.33967,0.42538,-0.38407,0.079325,-0.08977,0.18659,0.20507,-0.4098,0.094407,0.68224,-0.31608,-0.95201,0.47108,0.56571,0.13151,0.22457,0.094995,-1.3237,-0.51545,-0.39337,0.88488,0.93826,0.22931,0.088624,-0.53908,0.23396,0.73245,-0.019123,-0.26552,-0.40433,-1.5832,1.1316,0.4419,-0.48218,0.4828,0.14938,1.1245,1.0159,-0.50213,0.83831,-0.31303,0.083242,1.7161,0.15024,1.0324,-1.5005,0.62348,0.54508,-0.88484,0.53279,-0.085119,0.02141,-0.56629,1.1463,0.6464,0.78318,-0.067662,0.22884,-0.042453
9,1.0326,-0.69136,0.6487,-0.071774,-0.57696,-0.56127,-0.68288,-0.05353,0.44905,-0.35602,0.86067,0.39249,0.038925,0.2982,-0.72031,0.8336,0.091965,0.9492,-0.029391,-0.60635,0.8484,-0.23062,0.032344,0.89432,-0.64466,-0.89722,0.29887,-0.60273,0.64634,-0.1478,2.9942,0.33144,-0.36863,-0.14631,0.48259,-0.072306,0.14288,0.083298,-0.59927,0.75392,0.020408,-0.43486,0.63946,0.8492,-0.80567,-0.37004,-0.63297,-0.10298,-0.51722,0.33306,-0.81486,0.60995,0.58601,-0.92374,-0.089538,0.00023738,-0.18316,0.29804,-0.43718,0.061355,-0.37087,0.048595,0.79354,1.2487,0.13401,0.83693,0.46513,1.4767,-0.053585,-1.3014,1.0414,0.018075,0.16633,-0.21799,0.48249,-0.56581,0.11617,0.8602,1.5273,0.88207,0.46522,-0.39891,-0.86514,0.84848,0.11623,1.2894,0.47099,0.87654,1.4557,0.34316,0.91253,0.25992,-0.57078,0.48763,1.0542,1.3268,0.014356,-0.51769,-0.46111,-0.63135
